CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
266,Gabon,6361,6163,6208,5843,4412,5087,5694,5215,4286,4305,4621,4119,4194,4968,5794,6889,7215,8447,10213,7690,8841,10796,9814,9681,9651,7379,6984,7230,8019
270,Gambia,1231,1156,1155,1183,1134,1157,1211,1112,1128,1060,987,840,684,558,643,666,662,780,925,833,861,763,743,701,607,661,683,680,716
268,Georgia,1641,1344,773,570,533,571,665,784,831,661,737,788,839,991,1276,1602,1945,2568,3249,2749,2987,3702,4057,4246,4368,3716,3771,4052,4397
276,Germany,22411,23511,26658,25753,27279,31867,30708,27174,27505,26958,23871,23867,25372,30583,34408,34873,36725,42091,46014,41997,42020,46310,43562,45984,47684,41089,42178,44349,47514
288,Ghana,894,977,933,786,698,806,842,816,865,870,548,571,646,780,886,1044,1207,1427,1603,1423,1719,2063,2135,2378,1969,1766,1931,2026,2202
300,Greece,9573,10193,11153,10330,10954,12739,13465,13125,13166,13525,11886,12231,13757,17998,21409,22074,24434,28640,32107,30110,27496,26576,22787,22332,22149,18442,18391,19262,20731
304,Greenland,20025,19910,20304,18142,19693,23671,23436,20966,22459,22062,20776,21072,22605,27487,32052,32481,35336,39521,43966,44598,44196,47469,46214,47594,50408,44329,47989,50046,53950
308,Grenada,2451,2566,2596,2565,2661,2774,2954,3163,3460,3709,5057,5041,5214,5683,5742,6644,6659,7213,7832,7291,7258,7291,7444,7789,8370,9097,9628,10153,10486
320,Guatemala,736,884,959,1023,1138,1255,1322,1456,1553,1434,1476,1568,1702,1753,1873,2078,2257,2490,2794,2636,2825,3188,3300,3453,3688,3924,4141,4471,4549
324,Guinea,615,631,662,641,654,724,737,701,624,590,518,484,475,544,563,446,453,660,715,674,672,651,717,769,787,769,733,822,938
624,Guinea-Bissau,625,650,670,686,706,735,482,364,325,345,302,310,325,371,404,436,430,493,598,557,558,703,616,634,622,603,661,739,778
328,Guyana,850,747,796,987,1146,1302,1479,1576,1518,1478,1522,1524,1555,1590,1685,1763,1954,2331,2574,2709,3015,3426,3774,3938,4031,4143,4455,4586,4901
332,Haiti,440,417,288,242,280,348,377,404,460,491,433,408,367,318,405,440,508,650,665,664,674,740,763,806,820,781,701,776,835
340,Honduras,734,718,778,775,738,828,829,931,1009,1012,1093,1133,1134,1159,1218,1308,1430,1583,1739,1790,1904,2088,2144,2103,2206,2302,2343,2450,2500
348,Hungary,3584,3354,3739,3873,4166,4487,4516,4588,4738,4788,4620,5273,6649,8411,10278,11202,11494,13963,15827,13129,13209,14260,12992,13770,14335,12736,13074,14544,16264
352,Iceland,24988,26424,26815,23325,23742,26223,27137,27799,30854,32287,32106,29004,32575,39639,47525,56996,57442,70499,57600,41652,42718,46862,45214,49004,54043,52655,62065,73246,76867
356,India,377,327,323,310,346,386,401,425,421,445,451,456,469,539,622,718,806,1001,1056,1080,1353,1497,1470,1497,1577,1639,1726,1961,2055
360,Indonesia,735,809,863,964,1063,1196,1325,1239,540,785,831,797,958,1135,1225,1345,1693,1980,2307,2408,3122,3643,3694,3624,3492,3332,3563,3837,3893
364,Iran,1710,1822,1866,1997,1888,1861,2015,1852,1768,1822,1701,1829,2230,2278,2756,3246,3774,4905,5717,5710,6658,8073,7983,7054,5731,5012,5347,5714,5783
368,Iraq,1371,467,537,372,289,241,410,435,538,910,1007,1022,978,902,1392,1856,2361,3183,4352,4441,4657,6045,6836,7077,6638,4688,4551,5077,5523
372,Ireland,14061,14171,15862,14795,16023,19271,20963,22686,24427,26448,26394,28404,32742,41275,47776,51107,54855,62411,62286,52575,48778,51724,48826,51684,55864,62655,63999,70617,79415
376,Israel,13238,14689,15874,15382,16876,19043,20279,20604,20342,20105,22257,21575,19633,20223,21180,21829,23057,26136,30780,28855,31852,34923,33773,37834,39413,37578,39333,42851,44215
380,Italy,20622,21730,22991,18526,19120,20546,23000,21825,22383,22098,20176,20519,22223,27345,31119,31871,33272,37621,40714,37071,35972,38463,34855,35590,35742,30306,30918,32334,34389
388,Jamaica,2181,1934,1716,2190,2173,2596,2890,3251,3368,3376,3392,3438,3609,3481,3734,4104,4331,4624,4928,4335,4704,5112,5210,4997,4834,4911,4843,5069,5354
392,Japan,25162,28691,31188,35433,38928,43122,38168,34791,31723,35830,38326,33697,32176,34716,37559,37057,35277,35140,39194,40694,44344,47918,48303,40180,37844,34297,38561,38116,39082
400,Jordan,1139,1127,1351,1348,1429,1482,1479,1510,1617,1637,1669,1738,1821,1896,2066,2206,2539,2764,3386,3473,3652,3772,3824,3946,4042,4092,4103,4160,4238
398,Kazakhstan,1811,1668,1623,1519,1370,1298,1346,1439,1457,1123,1226,1486,1645,2042,2830,3709,5209,6677,8413,7187,9109,11681,12417,13898,12797,10493,7699,9226,9790
404,Kenya,534,487,466,313,387,484,481,509,532,472,453,454,447,493,518,587,686,826,902,905,952,972,1137,1210,1316,1337,1411,1568,1710
296,Kiribati,552,643,643,621,715,720,847,838,805,834,885,760,844,1060,1131,1215,1168,1374,1428,1312,1517,1735,1787,1716,1635,1525,1613,1626,1627
412,Kosovo,2731,2030,1486,1098,1093,2351,1531,1448,1325,922,860,1321,1532,1811,2002,2099,2224,2714,3326,3321,3430,3875,3738,4036,4181,3615,3739,4049,4453
414,Kuwait,8815,5422,10389,13515,14982,16535,19358,17747,14169,15435,18443,16588,17845,22147,27011,35591,42786,45781,55489,37563,38576,48623,51972,49390,44069,29874,27650,29470,34249
417,Kyrgyzstan,596,562,491,422,342,327,395,376,343,257,278,308,322,383,439,485,553,733,978,879,884,1123,1175,1280,1278,1121,1122,1244,1284
418,Lao People's DR,212,245,273,300,340,382,394,360,260,289,339,338,347,392,455,512,617,769,948,985,1170,1377,1581,1826,1998,2135,2309,2424,2542
428,Latvia,3614,3366,2268,2005,2093,2149,2401,2653,2940,3122,3328,3533,4086,5088,6299,7508,9634,14058,16422,12241,11234,13608,13618,14804,15527,13561,14048,15516,17852
422,Lebanon,1052,1491,1864,2436,2751,3261,3776,4263,4578,4538,4340,4276,4474,4512,4628,4574,4632,5217,6134,7371,7757,7704,7987,7926,7714,7650,7631,7830,8224
426,Lesotho,369,402,471,458,459,503,495,529,457,452,432,396,369,547,701,781,818,916,941,938,1196,1391,1329,1245,1279,1197,1111,1233,1248
430,Liberia,287,264,173,126,103,102,114,180,203,228,226,216,227,172,205,219,245,274,305,308,332,383,419,456,471,464,467,456,440
434,Libya,7007,7572,7837,6935,6338,5717,6212,6486,5753,6376,7180,6258,3962,4668,5830,7838,9356,10489,15734,11222,13060,6497,16094,10415,5316,2752,2360,3817,5147
438,Liechtenstein,60991,65119,68796,67082,73804,87281,86704,80535,84880,89917,82786,82139,87771,99380,110894,116560,126511,144509,158442,139442,156167,174913,164808,173058,178853,167294,165630,173358,179258
440,Lithuania,2770,2701,2180,1879,1742,1848,2327,2827,3162,3109,3295,3527,4144,5507,6698,7817,9145,12191,14907,11821,11856,14097,14067,15435,16330,14118,14889,16782,19083
442,Luxembourg,34650,37069,41049,41547,45539,52894,52600,46983,47457,51559,48758,48324,53225,66074,76771,81571,91089,107147,115062,103453,104772,115548,106767,113793,119210,101889,104773,108432,117370
450,Madagascar,311,262,285,309,264,272,334,287,293,283,286,323,304,368,285,319,339,439,536,468,472,531,518,541,531,467,476,515,527
454,Malawi,337,381,339,372,219,251,297,306,305,296,283,271,298,267,283,290,308,332,388,438,479,535,372,334,366,384,309,359,397
458,Malaysia,2442,2653,3113,3433,3728,4336,4798,4645,3264,3493,4044,3913,4166,4462,4952,5587,6209,7244,8475,7292,9041,10399,10817,10970,11319,9955,9818,10254,11373
462,Maldives,1258,1388,1574,1735,1869,2228,2467,2734,2856,3058,3172,3098,3105,3476,3941,3640,4810,5574,6614,6636,7077,7291,7266,7928,8499,9033,9209,9541,10331
466,Mali,323,348,350,336,239,296,320,284,316,323,270,307,335,393,440,489,523,597,691,698,710,837,779,805,850,751,782,831,900
470,Malta,7278,7793,8496,7557,8298,9810,10010,9840,10265,10480,10297,10260,11204,13510,15004,15799,16693,19444,21924,20721,21100,22746,21839,23822,26223,24685,26238,29184,33123
584,Marshall Islands,1676,1720,1866,2015,2172,2405,2214,2107,2159,2142,2187,2241,2386,2380,2437,2539,2630,2752,2764,2753,2986,3105,3290,3377,3238,3159,3426,3578,3667
478,Mauritania,1025,1071,1058,881,909,934,921,873,742,705,632,616,613,703,826,929,1197,1339,1581,1339,1560,1702,1698,1776,1706,1562,1577,1649,1730
480,Mauritius,2590,2742,3151,3142,3383,3786,4093,3835,3782,3858,4109,4035,4206,5024,5651,5544,5723,6605,8062,7338,8016,9207,9309,9662,10183,9284,9694,10486,11222
484,Mexico,3573,4198,4768,5650,5854,3928,4412,5289,5481,6157,7158,7545,7593,7075,7485,8278,9068,9643,10017,8003,9271,10203,10242,10725,10922,9606,8739,9282,9695
583,Micronesia (FS of),1640,1781,1865,1988,2015,2063,2019,1906,2029,2046,2171,2238,2256,2291,2256,2362,2405,2458,2541,2721,2884,3003,3123,2984,2959,2894,3007,3253,3296
492,Monaco,82625,82128,89963,84158,87837,99960,99339,89067,91315,89857,81190,81191,87232,106319,120940,124190,134037,169966,185729,154783,150577,168797,157519,177602,189162,165945,169896,167516,185835
496,Mongolia,785,726,664,654,678,730,691,613,560,519,550,608,663,749,925,1158,1547,1893,2477,1988,2643,3758,4352,4366,4159,3919,3660,3672,4104
499,Montenegro,3491,2849,2400,1325,1364,1958,1410,1369,1394,1361,1616,1908,2107,2802,3403,3697,4405,5941,7316,6677,6630,7258,6531,7128,7321,6465,6973,7739,8772
500,Montserrat,7105,6052,6318,6334,7057,6991,6092,5549,5829,6506,7292,7932,9002,9107,9371,10108,10549,11012,11713,12146,11331,12955,12868,12032,11893,12358,12615,12030,12754
504,Morocco,1222,1294,1299,1203,1340,1435,1571,1414,1496,1467,1351,1361,1442,1758,1987,2054,2239,2536,2933,2909,2882,3092,2956,3168,3219,2919,2941,3083,3273
508,Mozambique,297,268,185,186,184,182,242,282,317,337,310,287,294,317,376,413,432,473,565,522,473,595,658,664,674,590,429,461,499
104,Myanmar,125,127,141,151,164,177,189,201,130,142,156,162,217,206,211,244,281,367,518,655,819,1135,1187,1198,1268,1187,1218,1246,1354
516,Namibia,1944,2027,2258,2070,2285,2422,2372,2416,2210,2165,2136,1906,1769,2561,3397,3674,3974,4356,4153,4265,5325,5754,5931,5694,5624,5033,4786,5646,5930
520,Nauru,5181,4664,4252,3578,3495,3280,3162,2905,2272,2352,2101,1864,1887,2412,2790,2670,2584,2348,4200,5458,5925,8730,11887,11576,12910,10050,11502,12654,11876
524,Nepal,200,179,188,185,206,210,213,230,212,229,239,242,239,258,287,321,345,415,438,474,603,683,664,677,734,770,770,926,991
528,Netherlands,21271,21739,23934,23156,24669,29240,28945,26623,27818,28220,26148,26920,29275,35724,40351,41857,44605,51339,57220,52208,50744,54013,49963,52063,52744,45179,46141,48990,53583
540,New Caledonia,14850,15222,16357,15382,16132,18772,18195,17438,17093,17138,15702,14876,16509,21394,25268,26375,29062,36199,36608,34666,36900,40217,37060,38406,39669,32363,32831,34129,36335
554,New Zealand,13372,12719,12007,12805,14783,17184,18694,18469,15111,15694,14108,13846,15775,20862,25107,27741,26664,32440,31153,28066,33543,38125,39430,42223,43970,38458,40398,43687,43836
558,Nicaragua,852,856,888,926,844,885,906,906,941,970,1005,1037,998,1002,1076,1158,1227,1328,1499,1444,1504,1656,1760,1812,1934,2050,2108,2168,2029
562,Niger,438,402,405,359,215,251,259,231,254,241,203,213,234,278,294,330,344,389,472,454,463,499,520,552,570,483,495,517,571
566,Nigeria,646,610,523,555,470,468,484,494,500,498,568,590,742,795,1008,1268,1656,1883,2243,1891,2292,2520,2747,2998,3223,2730,2176,1969,2154
807,North Macedonia,1459,1463,1377,1494,1796,2373,2333,1957,1872,1909,1854,1816,1961,2409,2763,3038,3326,4036,4793,4544,4543,5064,4698,5211,5468,4840,5129,5431,6063
578,Norway,28204,28545,30479,27932,29282,34814,37221,36504,34663,36273,38060,38463,43010,50077,57525,66680,73952,84956,96887,80008,87754,100697,101623,102917,96924,74195,70239,75221,81336
512,Oman,6377,5923,6209,5963,5947,6193,6755,6962,6216,6915,8601,8476,8627,9066,10126,12377,14420,15838,22140,16824,18713,20877,21873,20866,16984,15345,15761,16991,19073
586,Pakistan,480,505,553,531,556,624,605,591,578,561,540,502,537,594,666,734,831,907,880,920,973,1155,1146,1152,1275,1339,1363,1458,1330
585,Palau,5235,5623,5887,5275,5441,6432,7493,7926,8036,7622,7738,8158,8230,7974,8727,9326,9674,10159,10587,10028,10220,10884,11967,12688,13795,15872,16932,16078,15859
591,Panama,2499,2691,2996,3205,3348,3354,3387,3590,3814,3918,3897,3883,3960,4095,4407,4719,5134,6166,7154,7576,8082,9358,10722,11889,12796,13630,14356,15166,15575
598,Papua New Guinea,1070,1229,1360,1511,1578,1402,1457,1358,1013,903,899,772,751,897,988,1126,1250,1402,1673,1626,1949,2407,2791,2730,2895,2832,2597,2608,2681
600,Paraguay,1426,1649,1659,1726,1925,2186,2318,2298,2006,1812,1725,1537,1480,1514,1815,1941,2330,2977,4041,3625,4360,5323,5183,5927,6103,5407,5319,5681,5795
604,Peru,1319,1525,1562,1480,1873,2196,2233,2306,2163,1925,1956,1942,2022,2146,2417,2730,3155,3607,4223,4197,5082,5869,6529,6757,6679,6228,6205,6701,6947
608,Philippines,793,793,903,905,1041,1177,1286,1249,967,1087,1039,957,1000,1010,1079,1194,1391,1671,1916,1822,2124,2345,2573,2749,2831,2867,2941,2982,3103
616,Poland,1738,2247,2471,2512,2887,3696,4153,4128,4522,4400,4458,4945,5162,5658,6643,7979,8989,11187,13917,11467,12505,13812,13089,13738,14318,12557,12426,13869,15444
620,Portugal,7955,8999,10812,9505,9925,11705,12101,11501,12135,12426,11490,11749,12918,15807,18054,18763,19783,22716,24761,22981,22450,23161,20542,21615,22038,19223,19978,21515,23478
630,Puerto Rico,9119,9531,10123,10687,11380,12122,12786,13491,15052,16027,17054,19121,19821,20768,22054,23105,24084,24755,25953,26800,27482,28190,28718,29239,29663,30571,31780,32952,33271
634,Qatar,15454,14124,15434,14271,14544,15850,17337,21105,18594,21724,29976,28517,30215,34518,42125,51456,59530,65422,80234,59095,67403,82410,85076,85051,83858,63039,57163,61264,68794
410,South Korea,6677,7705,8190,8939,10428,12597,13411,12381,8235,10588,12161,11480,13068,14561,16356,19197,21547,23914,21295,19128,23091,25172,25538,27228,29330,28841,29423,31781,33622
498,Republic of Moldova,1092,929,674,683,483,489,471,540,479,333,368,424,477,570,748,862,987,1279,1767,1593,1707,2063,2137,2331,2335,1903,1985,2382,2791
642,Romania,1728,1306,889,1203,1381,1640,1630,1583,1868,1623,1691,1852,2113,2756,3532,4597,5747,8300,10289,8436,8120,9020,8464,9484,9964,8928,9522,10771,12281
