WPS Index rank,Country and group,WPS Index value,GDP per capita (PPP$; rank minus WPS rank),"Education (women's mean years of schooling, ages 25+)","Financial inclusion (women ages 15+, %)","Employment (women ages 25+, %)","Cellphone use (women ages 15+, %)","Parliamentary representationa (seats held by women, %)",Legal discrimination (aggregate score),Son bias                  (male to female ratio at birth),"Discriminatory work norms (males 15+ who agree it is unacceptable for women to work, %)"," Intimate partner violence (experienced by women in the past year, %)","Community safety (perception among women ages 15+, %)","Organized violence (battle deaths per 100,000 people)",,,,
78,Ghana,0.724,43,6.3,53.7,70.5,79.7,13.1,27,1.05,7,19.2,62.1,0.00,,,,
80,Timor-Leste,0.721,27,3.6,68.2,33.8,87.6,33.8,16,1.05,21,46.4,77.3,0.00,,,,
80,Kyrgyzstan,0.721,48,10.9,38.9,49.6,90.8,19.2,20,1.06,28,17.1,56.5,0.00,,,,
82,Armenia,0.720,11,12.5,40.9,44.7,91.5,24.2,20,1.13,17,3.5,84.7,0.06,,,,
83,Bahrain,0.719,-63,8.5,75.4,47.4,95.4,18.8,42,1.04,22,15.3,58.5,0.00,,,,
84,Venezuela ,0.717,..,10.7,70.0,50.0,77.3,22.2,14,1.05,6,12.2,18.8,0.03,,,,
84,Nepal,0.717,54,3.6,41.6,83.4,81.6,33.5,32,1.07,18,11.2,49.8,0.00,,,,
86,Belize,0.716,15,10.5,52.3,53.1,78.7,11.1,22,1.03,9,7.8,45.4,0.00,,,,
87,Barbados,0.715,-25,10.6,52.2,60.0,78.7,27.5,26,1.04,9,27.0,34.1,0.00,,,,
88,Nicaragua,0.712,29,6.9,24.8,54.9,73.3,44.6,9,1.05,15,7.5,39.3,0.18,,,,
89,Uzbekistan,0.710,23,11.3,36.0,56.0,73.2,16.4,29,1.08,32,7.1,84.1,0.00,,,,
90,Philippines,0.709,12,9.3,38.9,51.2,80.3,29.1,13,1.06,16,5.5,57.7,0.87,,,,
91,Honduras,0.708,30,6.6,41.0,50.9,76.0,21.1,14,1.05,11,11.0,58.8,0.04,,,,
92,Viet Nam,0.707,21,7.9,30.4,76.0,68.6,26.7,16,1.10,18,9.0,53.3,0.00,,,,
92,Thailand,0.707,-27,7.4,79.8,64.0,84.2,5.4,20,1.06,22,22.0,67.3,0.09,,,,
94,Tanzania,0.704,42,4.9,42.2,83.1,53.3,36.9,22,1.03,15,29.6,60.9,0.00,,,,
95,Indonesia,0.703,-7,7.6,51.4,55.3,69.1,18.2,30,1.05,37,4.9,75.3,0.00,,,,
96,Kuwait,0.701,-88,8.0,73.5,64.2,100.0,4.6,44,1.05,47,15.3,77.2,0.00,,,,
96,Tajikistan,0.701,37,10.8,42.1,28.3,74.1,20.0,19,1.07,29,19.0,84.1,0.01,,,,
98,Brazil,0.700,-25,7.8,67.5,49.4,79.4,15.0,15,1.05,6,3.1,27.5,0.12,,,,
98,Cabo Verde,0.700,14,5.9,34.7,66.1,66.3,23.6,14,1.03,16,7.8,48.0,0.00,,,,
98,Kenya,0.700,34,5.7,77.7,72.9,87.1,23.3,16,1.03,19,25.5,49.8,0.35,,,,
101,Solomon Islands,0.695,41,7.6,68.2,65.6,87.6,2.0,31,1.07,21,41.8,77.3,0.00,,,,
102,Cambodia,0.694,24,3.8,21.5,77.2,68.0,19.3,16,1.05,15,7.7,53.3,0.00,,,,
103,Mexico,0.693,-40,8.4,33.3,46.4,74.5,48.4,8,1.05,14,9.5,37.3,1.95,,,,
104,Colombia,0.691,-24,8.5,42.5,56.3,82.8,19.0,18,1.05,6,18.3,40.3,0.15,,,,
105,Ukraine,0.689,-6,11.3,61.3,45.0,90.0,11.6,19,1.06,11,7.6,39.4,0.67,,,,
106,Guatemala,0.680,-1,6.3,42.1,43.1,65.3,19.0,22,1.05,13,8.5,43.9,0.00,,,,
