regions,gender,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Finland,M,15.94,16.39,16.84,17.29,17.73,18.18,18.62,19.06,19.51,19.95,20.4,20.85,21.31,21.77,22.25,22.73,23.22,23.72
Fiji,F,25.88,26.48,27.06,27.63,28.19,28.75,29.3,29.84,30.39,30.93,31.48,32.02,32.56,33.1,33.64,34.18,34.72,35.25
Fiji,M,14.85,15.39,15.93,16.48,17.03,17.59,18.15,18.73,19.31,19.9,20.5,21.12,21.74,22.38,23.03,23.69,24.37,25.05
France,F,16.42,16.7,16.98,17.26,17.54,17.82,18.1,18.38,18.65,18.92,19.19,19.46,19.72,19.99,20.26,20.53,20.81,21.08
France,M,14.39,14.8,15.22,15.64,16.06,16.49,16.92,17.36,17.8,18.25,18.7,19.15,19.61,20.08,20.55,21.03,21.52,22.02
Micronesia (Federated States of),F,40.91,41.46,42.03,42.62,43.22,43.84,44.47,45.1,45.75,46.4,47.05,47.7,48.34,48.98,49.62,50.25,50.87,51.49
Micronesia (Federated States of),M,27.17,27.76,28.38,29.04,29.71,30.42,31.15,31.91,32.69,33.49,34.29,35.11,35.93,36.76,37.6,38.44,39.28,40.13
Gabon,F,13,13.47,13.93,14.39,14.84,15.29,15.73,16.17,16.6,17.02,17.44,17.86,18.27,18.68,19.09,19.5,19.91,20.31
Gabon,M,4.43,4.69,4.97,5.24,5.52,5.81,6.1,6.39,6.69,6.99,7.3,7.61,7.93,8.25,8.58,8.92,9.27,9.62
United Kingdom,F,19.64,20.14,20.65,21.17,21.69,22.22,22.75,23.28,23.81,24.35,24.88,25.42,25.95,26.48,27.02,27.56,28.1,28.65
United Kingdom,M,16.53,17.06,17.61,18.18,18.75,19.34,19.93,20.53,21.14,21.75,22.37,23,23.63,24.26,24.9,25.55,26.21,26.87
Georgia,F,15.52,15.85,16.21,16.58,16.98,17.39,17.82,18.28,18.75,19.24,19.75,20.28,20.82,21.38,21.96,22.55,23.15,23.76
Georgia,M,10.81,11.13,11.48,11.84,12.22,12.62,13.04,13.49,13.96,14.46,14.97,15.51,16.07,16.65,17.25,17.88,18.53,19.2
Ghana,F,8.6,9.02,9.45,9.88,10.33,10.78,11.24,11.7,12.17,12.64,13.12,13.6,14.09,14.58,15.08,15.59,16.1,16.62
Ghana,M,1.74,1.86,1.98,2.11,2.25,2.39,2.53,2.68,2.84,3,3.16,3.34,3.52,3.7,3.9,4.1,4.32,4.55
Guinea,F,5.49,5.75,6.02,6.3,6.6,6.9,7.22,7.55,7.88,8.23,8.6,8.97,9.35,9.75,10.16,10.59,11.03,11.48
Guinea,M,1.46,1.54,1.63,1.72,1.82,1.93,2.04,2.15,2.27,2.4,2.53,2.67,2.82,2.98,3.14,3.32,3.51,3.71
Gambia,F,7.19,7.58,7.97,8.37,8.78,9.21,9.64,10.08,10.53,10.98,11.44,11.91,12.38,12.85,13.33,13.82,14.31,14.81
Gambia,M,1.99,2.13,2.28,2.44,2.61,2.79,2.98,3.17,3.37,3.58,3.8,4.03,4.27,4.52,4.78,5.05,5.34,5.63
Guinea-Bissau,F,6.25,6.6,6.96,7.33,7.72,8.11,8.52,8.94,9.37,9.81,10.26,10.72,11.18,11.66,12.15,12.64,13.15,13.66
Guinea-Bissau,M,1.71,1.83,1.96,2.1,2.25,2.4,2.57,2.74,2.92,3.11,3.31,3.52,3.74,3.97,4.21,4.47,4.74,5.03
Equatorial Guinea,F,6.76,7.04,7.32,7.61,7.89,8.19,8.49,8.8,9.12,9.46,9.81,10.17,10.54,10.93,11.33,11.74,12.17,12.61
Equatorial Guinea,M,1.68,1.77,1.86,1.95,2.04,2.14,2.24,2.35,2.46,2.58,2.7,2.83,2.97,3.11,3.26,3.43,3.6,3.78
Greece,F,20.5,20.79,21.09,21.38,21.68,21.98,22.28,22.58,22.88,23.17,23.46,23.75,24.03,24.31,24.59,24.86,25.14,25.41
Greece,M,15.62,16.04,16.48,16.93,17.4,17.87,18.35,18.84,19.34,19.85,20.37,20.89,21.42,21.95,22.5,23.05,23.61,24.18
Grenada,F,18.71,19.3,19.89,20.48,21.07,21.66,22.24,22.83,23.42,24.02,24.62,25.23,25.84,26.47,27.1,27.74,28.39,29.05
Grenada,M,6.73,7.05,7.38,7.72,8.06,8.41,8.77,9.13,9.49,9.87,10.25,10.65,11.06,11.48,11.92,12.38,12.85,13.35
Guatemala,F,16.79,17.3,17.81,18.34,18.87,19.41,19.96,20.51,21.07,21.64,22.22,22.8,23.38,23.98,24.58,25.19,25.81,26.44
Guatemala,M,7.83,8.17,8.53,8.89,9.26,9.64,10.04,10.44,10.84,11.26,11.69,12.13,12.59,13.06,13.54,14.03,14.55,15.08
Guyana,F,17.05,17.55,18.06,18.58,19.11,19.65,20.2,20.77,21.34,21.93,22.53,23.13,23.76,24.4,25.05,25.72,26.4,27.09
Guyana,M,6.06,6.33,6.61,6.91,7.22,7.54,7.87,8.22,8.58,8.96,9.35,9.76,10.19,10.65,11.12,11.62,12.14,12.69
Honduras,F,16.47,17.01,17.56,18.12,18.69,19.27,19.86,20.46,21.07,21.69,22.31,22.95,23.59,24.24,24.89,25.55,26.21,26.88
Honduras,M,7.7,8.07,8.45,8.84,9.24,9.66,10.08,10.53,10.98,11.45,11.93,12.42,12.92,13.44,13.97,14.51,15.07,15.64
Croatia,F,18.75,19.02,19.29,19.58,19.87,20.17,20.49,20.81,21.14,21.49,21.84,22.2,22.56,22.94,23.32,23.72,24.11,24.52
Croatia,M,15.25,15.68,16.13,16.59,17.06,17.54,18.03,18.53,19.04,19.56,20.1,20.64,21.19,21.75,22.33,22.91,23.51,24.12
Haiti,F,14.03,14.59,15.2,15.85,16.54,17.27,18.02,18.81,19.61,20.43,21.26,22.09,22.91,23.73,24.54,25.34,26.13,26.91
Haiti,M,6.49,6.87,7.29,7.76,8.27,8.82,9.41,10.05,10.72,11.43,12.17,12.94,13.73,14.54,15.36,16.21,17.07,17.94
Hungary,F,19.67,19.83,20.02,20.23,20.46,20.71,20.97,21.26,21.57,21.89,22.21,22.55,22.89,23.23,23.57,23.92,24.27,24.62
Hungary,M,18.65,19.06,19.49,19.96,20.44,20.95,21.48,22.03,22.6,23.18,23.78,24.39,25.01,25.63,26.25,26.89,27.53,28.17
Indonesia,F,3.52,3.76,4.01,4.27,4.54,4.81,5.09,5.39,5.69,5.99,6.32,6.65,6.99,7.35,7.71,8.09,8.49,8.89
Indonesia,M,1.2,1.32,1.45,1.59,1.74,1.89,2.06,2.24,2.43,2.63,2.84,3.07,3.31,3.57,3.85,4.14,4.45,4.78
India,F,2.19,2.31,2.43,2.55,2.69,2.83,2.97,3.12,3.28,3.45,3.62,3.8,3.99,4.18,4.39,4.61,4.83,5.06
India,M,0.91,0.97,1.04,1.11,1.18,1.26,1.35,1.44,1.54,1.64,1.75,1.87,1.99,2.12,2.27,2.42,2.58,2.75
Ireland,F,15.93,16.45,16.98,17.51,18.06,18.6,19.16,19.71,20.27,20.84,21.4,21.97,22.55,23.13,23.72,24.31,24.91,25.53
Ireland,M,14.86,15.39,15.93,16.48,17.04,17.61,18.18,18.76,19.35,19.95,20.55,21.17,21.79,22.41,23.06,23.71,24.38,25.06
Iran,F,22.41,22.98,23.55,24.12,24.69,25.27,25.85,26.42,27,27.58,28.16,28.75,29.33,29.91,30.5,31.08,31.67,32.25
Iran,M,9.9,10.35,10.8,11.27,11.76,12.25,12.77,13.29,13.83,14.38,14.94,15.52,16.11,16.72,17.34,17.97,18.62,19.27
Iraq,F,28.71,29.1,29.5,29.93,30.36,30.81,31.27,31.73,32.22,32.71,33.21,33.73,34.25,34.79,35.33,35.88,36.44,37
Iraq,M,14.58,14.97,15.37,15.79,16.23,16.68,17.15,17.64,18.14,18.66,19.2,19.75,20.32,20.91,21.51,22.13,22.77,23.43
Iceland,F,15.44,15.69,15.95,16.2,16.44,16.68,16.92,17.15,17.38,17.61,17.83,18.05,18.27,18.5,18.72,18.95,19.18,19.41
Iceland,M,15.9,16.36,16.81,17.27,17.74,18.21,18.68,19.15,19.63,20.11,20.59,21.08,21.58,22.08,22.6,23.13,23.66,24.21
Israel,F,22.83,23.06,23.3,23.52,23.74,23.95,24.16,24.36,24.56,24.75,24.94,25.12,25.31,25.5,25.68,25.87,26.06,26.25
Israel,M,18.43,18.85,19.27,19.69,20.11,20.54,20.97,21.4,21.83,22.26,22.7,23.14,23.58,24.03,24.48,24.94,25.41,25.89
Italy,F,15.61,15.86,16.11,16.35,16.59,16.83,17.07,17.3,17.53,17.76,17.99,18.21,18.43,18.65,18.87,19.09,19.31,19.54
Italy,M,13.64,14.01,14.38,14.75,15.12,15.5,15.88,16.25,16.63,17.01,17.39,17.78,18.16,18.54,18.93,19.33,19.73,20.13
Jamaica,F,23.12,23.71,24.29,24.89,25.48,26.08,26.68,27.28,27.88,28.48,29.09,29.7,30.31,30.93,31.55,32.18,32.81,33.45
Jamaica,M,7.49,7.84,8.2,8.57,8.95,9.35,9.76,10.18,10.62,11.07,11.53,12.01,12.51,13.02,13.56,14.11,14.69,15.29
Jordan,F,34.39,34.93,35.45,35.96,36.46,36.96,37.45,37.94,38.44,38.95,39.45,39.97,40.48,41,41.51,42.03,42.55,43.06
