Year,Overall rank,Country or region,Happiness Score,GDP per capita
2015,62,Croatia,5.759,1.08254
2015,63,Libya,5.754,1.13145
2015,64,Russia,5.716,1.13764
2015,65,Jamaica,5.709,0.81038
2015,66,North Cyprus,5.695,1.20806
2015,67,Cyprus,5.689,1.20813
2015,68,Algeria,5.605,0.93929
2015,69,Kosovo,5.589,0.80148
2015,70,Turkmenistan,5.548,0.95847
2015,71,Mauritius,5.477,1.00761
2015,72,Hong Kong,5.474,1.38604
2015,73,Estonia,5.429,1.15174
2015,74,Indonesia,5.399,0.82827
2015,75,Vietnam,5.36,0.63216
2015,76,Turkey,5.332,1.06098
2015,77,Kyrgyzstan,5.286,0.47428
2015,78,Nigeria,5.268,0.65435
2015,79,Bhutan,5.253,0.77042
2015,80,Azerbaijan,5.212,1.02389
2015,81,Pakistan,5.194,0.59543
2015,82,Jordan,5.192,0.90198
2015,82,Montenegro,5.192,0.97438
2015,84,China,5.14,0.89012
2015,85,Zambia,5.129,0.47038
2015,86,Romania,5.124,1.04345
2015,87,Serbia,5.123,0.92053
2015,88,Portugal,5.102,1.15991
2015,89,Latvia,5.098,1.11312
2015,90,Philippines,5.073,0.70532
2015,91,Somaliland region,5.057,0.18847
2015,92,Morocco,5.013,0.73479
2015,93,Macedonia,5.007,0.91851
2015,94,Mozambique,4.971,0.08308
2015,95,Albania,4.959,0.87867
2015,96,Bosnia and Herzegovina,4.949,0.83223
2015,97,Lesotho,4.898,0.37545
2015,98,Dominican Republic,4.885,0.89537
2015,99,Laos,4.876,0.59066
2015,100,Mongolia,4.874,0.82819
2015,101,Swaziland,4.867,0.71206
2015,102,Greece,4.857,1.15406
2015,103,Lebanon,4.839,1.02564
2015,104,Hungary,4.8,1.12094
2015,105,Honduras,4.788,0.59532
2015,106,Tajikistan,4.786,0.39047
2015,107,Tunisia,4.739,0.88113
2015,108,Palestinian Territories,4.715,0.59867
2015,109,Bangladesh,4.694,0.39753
2015,110,Iran,4.686,1.0088
2015,111,Ukraine,4.681,0.79907
2015,112,Iraq,4.677,0.98549
2015,113,South Africa,4.642,0.92049
2015,114,Ghana,4.633,0.54558
2015,115,Zimbabwe,4.61,0.271
2015,116,Liberia,4.571,0.0712
2015,117,India,4.565,0.64499
2015,118,Sudan,4.55,0.52107
2015,119,Haiti,4.518,0.26673
2015,120,Congo (Kinshasa),4.517,0
2015,121,Nepal,4.514,0.35997
2015,122,Ethiopia,4.512,0.19073
2015,123,Sierra Leone,4.507,0.33024
2015,124,Mauritania,4.436,0.45407
2015,125,Kenya,4.419,0.36471
2015,126,Djibouti,4.369,0.44025
2015,127,Armenia,4.35,0.76821
2015,128,Botswana,4.332,0.99355
2015,129,Myanmar,4.307,0.27108
2015,130,Georgia,4.297,0.7419
2015,131,Malawi,4.292,0.01604
2015,132,Sri Lanka,4.271,0.83524
2015,133,Cameroon,4.252,0.4225
2015,134,Bulgaria,4.218,1.01216
2015,135,Egypt,4.194,0.8818
2015,136,Yemen,4.077,0.54649
2015,137,Angola,4.033,0.75778
2015,138,Mali,3.995,0.26074
2015,139,Congo (Brazzaville),3.989,0.67866
2015,140,Comoros,3.956,0.23906
2015,141,Uganda,3.931,0.21102
2015,142,Senegal,3.904,0.36498
2015,143,Gabon,3.896,1.06024
2015,144,Niger,3.845,0.0694
2015,145,Cambodia,3.819,0.46038
2015,146,Tanzania,3.781,0.2852
2015,147,Madagascar,3.681,0.20824
2015,148,Central African Republic,3.678,0.0785
2015,149,Chad,3.667,0.34193
2015,150,Guinea,3.656,0.17417
2015,151,Ivory Coast,3.655,0.46534
2015,152,Burkina Faso,3.587,0.25812
2015,153,Afghanistan,3.575,0.31982
2015,154,Rwanda,3.465,0.22208
2015,155,Benin,3.34,0.28665
2015,156,Syria,3.006,0.6632
2015,157,Burundi,2.905,0.0153
2015,158,Togo,2.839,0.20868
